-60.0, -60.0, 0.0, Left Cerebrum, Temporal Lobe, Middle Temporal Gyrus, Gray Matter, Brodmann area 21,
-60.0, -60.0, 10.0, Left Cerebrum, Temporal Lobe, Middle Temporal Gyrus, Gray Matter, Brodmann area 39,
-60.0, -60.0, 20.0, Left Cerebrum, Temporal Lobe, Superior Temporal Gyrus, Gray Matter, Brodmann area 39,
-60.0, -60.0, 30.0, Left Cerebrum, Temporal Lobe, Superior Temporal Gyrus, Gray Matter, Brodmann area 39,
-60.0, -50.0, -10.0, Left Cerebrum, Temporal Lobe, Inferior Temporal Gyrus, *, *,
-60.0, -50.0, 0.0, Left Cerebrum, Temporal Lobe, Middle Temporal Gyrus, White Matter, *,
-60.0, -50.0, 10.0, Left Cerebrum, Temporal Lobe, Superior Temporal Gyrus, White Matter, *,
-60.0, -50.0, 20.0, Left Cerebrum, Temporal Lobe, Superior Temporal Gyrus, White Matter, *,
-60.0, -50.0, 30.0, Left Cerebrum, Parietal Lobe, Supramarginal Gyrus, Gray Matter, Brodmann area 40,
-60.0, -40.0, -10.0, Left Cerebrum, Temporal Lobe, Middle Temporal Gyrus, White Matter, *,
-60.0, -40.0, 0.0, Left Cerebrum, Temporal Lobe, Middle Temporal Gyrus, Gray Matter, Brodmann area 21,
-60.0, -40.0, 10.0, Left Cerebrum, Temporal Lobe, Superior Temporal Gyrus, White Matter, *,
-60.0, -40.0, 20.0, Left Cerebrum, Temporal Lobe, Superior Temporal Gyrus, Gray Matter, Brodmann area 22,
-60.0, -40.0, 30.0, Left Cerebrum, Parietal Lobe, Supramarginal Gyrus, *, *,
-60.0, -40.0, 40.0, Left Cerebrum, Parietal Lobe, Inferior Parietal Lobule, *, *,
-60.0, -30.0, -10.0, Left Cerebrum, Temporal Lobe, Middle Temporal Gyrus, White Matter, *,
-60.0, -30.0, 0.0, Left Cerebrum, Temporal Lobe, Middle Temporal Gyrus, Gray Matter, *,
-60.0, -30.0, 10.0, Left Cerebrum, Temporal Lobe, Superior Temporal Gyrus, White Matter, *,
-60.0, -30.0, 20.0, Left Cerebrum, Temporal Lobe, Superior Temporal Gyrus, *, *,
-60.0, -30.0, 30.0, Left Cerebrum, Parietal Lobe, Inferior Parietal Lobule, White Matter, *,
-60.0, -30.0, 40.0, Left Cerebrum, Parietal Lobe, Inferior Parietal Lobule, *, *,
-60.0, -20.0, -20.0, Left Cerebrum, Temporal Lobe, Inferior Temporal Gyrus, Gray Matter, Brodmann area 20,
-60.0, -20.0, -10.0, Left Cerebrum, Temporal Lobe, Middle Temporal Gyrus, White Matter, *,
-60.0, -20.0, 0.0, Left Cerebrum, Temporal Lobe, Superior Temporal Gyrus, White Matter, *,
-60.0, -20.0, 10.0, Left Cerebrum, Temporal Lobe, Superior Temporal Gyrus, Gray Matter, Brodmann area 42,
-60.0, -20.0, 20.0, Left Cerebrum, Parietal Lobe, Postcentral Gyrus, White Matter, *,
-60.0, -20.0, 30.0, Left Cerebrum, Parietal Lobe, Postcentral Gyrus, White Matter, *,
-60.0, -20.0, 40.0, Left Cerebrum, Parietal Lobe, Postcentral Gyrus, *, *,
-60.0, -10.0, -20.0, Left Cerebrum, Temporal Lobe, Inferior Temporal Gyrus, Gray Matter, Brodmann area 20,
-60.0, -10.0, -10.0, Left Cerebrum, Temporal Lobe, Middle Temporal Gyrus, White Matter, *,
-60.0, -10.0, 0.0, Left Cerebrum, Temporal Lobe, Superior Temporal Gyrus, Gray Matter, Brodmann area 22,
-60.0, -10.0, 10.0, Left Cerebrum, Temporal Lobe, Transverse Temporal Gyrus, Gray Matter, Brodmann area 42,
-60.0, -10.0, 20.0, Left Cerebrum, Parietal Lobe, Postcentral Gyrus, White Matter, *,
-60.0, -10.0, 30.0, Left Cerebrum, Frontal Lobe, Precentral Gyrus, White Matter, *,
-60.0, -10.0, 40.0, Left Cerebrum, Frontal Lobe, Precentral Gyrus, Gray Matter, Brodmann area 6,
-60.0, 0.0, -20.0, Left Cerebrum, Temporal Lobe, *, *, *,
-60.0, 0.0, -10.0, Left Cerebrum, Temporal Lobe, Middle Temporal Gyrus, White Matter, *,
-60.0, 0.0, 0.0, Left Cerebrum, Temporal Lobe, Superior Temporal Gyrus, White Matter, *,
-60.0, 0.0, 10.0, Left Cerebrum, Frontal Lobe, Precentral Gyrus, Gray Matter, Brodmann area 6,
-60.0, 0.0, 20.0, Left Cerebrum, Frontal Lobe, Precentral Gyrus, White Matter, *,
-60.0, 0.0, 30.0, Left Cerebrum, Frontal Lobe, Precentral Gyrus, Gray Matter, Brodmann area 6,
-60.0, 10.0, -10.0, Left Cerebrum, Temporal Lobe, Superior Temporal Gyrus, Gray Matter, Brodmann area 38,
